geoID,name,acai,units,Data_Value_missing,Municipality,State
,..,,6000,True,,
,..,,9167,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,6800,True,,
,..,,-,True,,
,..,,3833,True,,
,..,,7500,True,,
,..,,8000,True,,
,..,,-,True,,
,..,,6000,True,,
,..,,8000,True,,
,..,,8000,True,,
,..,,8240,True,,
,..,,-,True,,
,..,,-,True,,
,..,,6000,True,,
,..,,-,True,,
,..,,-,True,,
,..,,8000,True,,
,..,,7667,True,,
,..,,-,True,,
,..,,-,True,,
,..,,10000,True,,
,..,,6000,True,,
,..,,9000,True,,
,..,,8000,True,,
,..,,8000,True,,
,..,,7657,True,,
,..,,-,True,,
,..,,-,True,,
,..,,8000,True,,
,..,,-,True,,
,..,,7700,True,,
,..,,-,True,,
,..,,8000,True,,
,..,,-,True,,
,..,,5600,True,,
,..,,-,True,,
,..,,-,True,,
,..,,6000,True,,
,..,,-,True,,
,..,,6000,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,7000,True,,
,..,,3059,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,1308,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,2000,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,13000,True,,
,..,,11000,True,,
,..,,11000,True,,
,..,,12000,True,,
,..,,-,True,,
,..,,11000,True,,
,..,,11200,True,,
,..,,10514,True,,
,..,,11000,True,,
,..,,12000,True,,
,..,,10000,True,,
,..,,-,True,,
,..,,-,True,,
,..,,10000,True,,
,..,,12000,True,,
,..,,10000,True,,
,..,,12000,True,,
,..,,10400,True,,
,..,,-,True,,
,..,,12000,True,,
,..,,12000,True,,
,..,,12000,True,,
,..,,11000,True,,
,..,,7600,True,,
,..,,-,True,,
,..,,10000,True,,
,..,,12000,True,,
,..,,10400,True,,
,..,,12000,True,,
,..,,10000,True,,
,..,,-,True,,
,..,,12000,True,,
,..,,14211,True,,
,..,,10000,True,,
,..,,10000,True,,
,..,,12000,True,,
,..,,10000,True,,
,..,,12000,True,,
,..,,10000,True,,
,..,,12000,True,,
,..,,-,True,,
,..,,-,True,,
,..,,12000,True,,
,..,,11000,True,,
,..,,10000,True,,
,..,,-,True,,
,..,,-,True,,
,..,,9000,True,,
,..,,10000,True,,
,..,,12000,True,,
,..,,13514,True,,
,..,,12000,True,,
,..,,11000,True,,
,..,,-,True,,
,..,,12000,True,,
,..,,12000,True,,
,..,,10000,True,,
,..,,13000,True,,
,..,,11000,True,,
,..,,13000,True,,
,..,,12000,True,,
,..,,12000,True,,
,..,,7538,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,-,True,,
,..,,7500,True,,
,..,,4000,True,,
,..,,6700,True,,
,..,,-,True,,
,..,,6000,True,,
,..,,5500,True,,
,..,,8000,True,,
,..,,12000,True,,
,..,,-,True,,
,..,,5600,True,,
,..,,8000,True,,
,..,,12000,True,,
,..,,-,True,,
,..,,10000,True,,
,..,,4961,True,,
,..,,8000,True,,
,..,,8000,True,,
,..,,10000,True,,
,..,,4185,True,,
,..,,6271,True,,
,..,,6444,True,,
,..,,6000,True,,
,..,,6000,True,,
,..,,8800,True,,
,..,,5750,True,,
,..,,-,True,,
,..,,7000,True,,
,..,,4000,True,,
,..,,5600,True,,
,..,,3125,True,,
