record_id,county,scientific_name,s_common_name,inf_taxon,group_member_type_desc,g_rank,s_rank,g1g2s1s2,state_status,state_protect_status_desc,fed_status,fed_protect_desc,listed_species,tracked_species,swap_priority_desc,presence_status,obsrank,locuseclass,date_class,first_obs_date,last_survey_date,dateconvert,count_records,eo_id_sc
1,Abbeville,Alasmidonta varicosa,Brook Floater,Freshwater Mussels,Zoological,G3,S1S2,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Highest,3,N - Not Ranked,Not applicable,> 40 Years,1960-09-04,1960-09-04,1960-09-04,81,15820
2,Abbeville,Ameiurus brunneus,Snail Bullhead,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G4,S3S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,N - Not Ranked,Not applicable,5 - 10 Years,2016-07-27,2016-07-27,2016-07-27,81,18664
16,Abbeville,Ameiurus catus,White Catfish,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G5,S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,N - Not Ranked,Not applicable,> 40 Years,1973-08-10,1976-06-21,1976-06-21,81,12076
31,Abbeville,Ameiurus platycephalus,Flat Bullhead,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G4,S3S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,E - Verified extant (viability not assessed),Not applicable,< 5 Years,1974-06-13,2022-06-21,2022-06-21,81,12325
79,Abbeville,Ammodramus savannarum,Grasshopper Sparrow,Birds,Zoological,G5,S3,1,Not Applicable,Not Applicable,MBTA: Migratory Bird Treaty Act,MBTA: Migratory Bird Treaty Act,1,1,Highest,3,N - Not Ranked,Breeding,20 - 40 Years,1993,1993,1993,81,25906
85,Abbeville,Amorpha schwerinii,Piedmont Indigo-bush,Dicots,Botanical,G3G4,S1,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,N - Not Ranked,Not Recorded,> 40 Years,1979-07-25,1979-07-25,1979-07-25,81,6234
86,Abbeville,Bombus affinis,Rusty-patched Bumble Bee,Bumble Bees,Zoological,G2,SH,1,Not Applicable,Not Applicable,LE: Federally Endangered,LE: Federally Endangered,1,1,Not Applicable,3,E - Verified extant (viability not assessed),Not applicable,> 40 Years,1970-06-06,1970-06-06,1970-06-06,81,7425
87,Abbeville,Cambarus howardi,a crayfish,Crayfishes,Zoological,G3,S2,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,N - Not Ranked,Not applicable,10 - 20 Years,2012-12-02,2012-12-02,2012-12-02,81,27342
122,Abbeville,Cambarus strigosus,Lean Crayfish,Crayfishes,Zoological,G2,S1?,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,E - Verified extant (viability not assessed),Not Recorded,> 40 Years,1983-05-10,1983-05-10,1983-05-10,81,20504
124,Abbeville,Carex impressinervia,Ravine Sedge,Monocots,Botanical,G2,S1,1,Not Applicable,Not Applicable,ARS: At-Risk Species,ARS: At-Risk Species,1,1,Not Applicable,3,N - Not Ranked,Not Recorded,Date Unknown,No Date,No Date,No Date,81,7003
128,Abbeville,Carex jamesii,James's Sedge,Monocots,Botanical,G5,S1,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,N - Not Ranked,Not Recorded,5 - 10 Years,2019-04-25,2019-04-25,2019-04-25,81,6492
129,Abbeville,Carex prasina,Drooping Sedge,Monocots,Botanical,G4,S2,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Not Applicable,3,N - Not Ranked,Not Recorded,5 - 10 Years,2019-05-01,2019-05-01,2019-05-01,81,146
130,Abbeville,Clinostomus funduloides,Rosyside Dace,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G5,S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,E - Verified extant (viability not assessed),Not applicable,< 5 Years,2020-09-28,2020-09-28,2020-09-28,81,27526
134,Abbeville,Collinsonia verticillata,Whorled Horsebalm,Dicots,Botanical,G3G4,S3,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,N - Not Ranked,Not Recorded,20 - 40 Years,1998-04-11,1998-04-11,1998-04-11,81,4962
137,Abbeville,Cyprinella chloristia,Greenfin Shiner,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",Zoological,G4,S4,1,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1,1,Moderate,3,N - Not Ranked,Not applicable,5 - 10 Years,1976-06-09,2017-06-28,2017-06-28,81,10859
